"ID","question","Correct","E1","E2","C1","group","study"
45284,"Declaration",1776,"1776","1776",7,16,"1a"
46221,"Declaration",1776,"1772","1776",5,16,"1a"
30407,"Declaration",1776,"1776","1776",7,17,"1a"
44938,"Declaration",1776,"1776","1776",5,17,"1a"
49037,"Declaration",1776,"1776","1776",7,17,"1a"
50623,"Declaration",1776,"1776","1776",6,17,"1a"
37235,"Declaration",1776,"1776","1776",6,18,"1a"
37544,"Declaration",1776,"1776","1776",7,18,"1a"
38286,"Declaration",1776,"1776","1776",7,18,"1a"
49963,"Declaration",1776,"1776","1776",7,18,"1a"
37448,"Declaration",1776,"1776","1776",6,19,"1a"
43048,"Declaration",1776,"1776","1776",6,19,"1a"
47392,"Declaration",1776,"1776","1776",7,19,"1a"
49595,"Declaration",1776,"1776","1776",6,19,"1a"
43817,"Declaration",1776,"1776","1776",7,20,"1a"
45143,"Declaration",1776,"1776","1776",6,20,"1a"
50528,"Declaration",1776,"1775","1775",5,20,"1a"
50530,"Declaration",1776,"1776","1775",6,20,"1a"
45041,"Declaration",1776,"1776","1776",6,21,"1a"
50585,"Declaration",1776,"1775","1776",6,21,"1a"
50613,"Declaration",1776,"1776","1776",7,21,"1a"
46304,"Declaration",1776,"1776","1776",7,22,"1a"
49211,"Declaration",1776,"1778","1776",6,22,"1a"
50501,"Declaration",1776,"1776","1776",6,22,"1a"
50577,"Declaration",1776,"1798","1796",6,22,"1a"
20036,"Declaration",1776,"1776","1776",6,23,"1a"
31919,"Declaration",1776,"1776","1776",7,23,"1a"
45196,"Declaration",1776,"1776","1776",6,23,"1a"
45953,"Declaration",1776,"1846","1776",2,23,"1a"
40798,"Declaration",1776,"1776","1776",7,24,"1a"
48047,"Declaration",1776,"1519","1776",2,24,"1a"
48375,"Declaration",1776,"1776","1776",6,24,"1a"
50584,"Declaration",1776,"1776","1776",7,24,"1a"
37396,"Declaration",1776,"1750","1776",2,25,"1a"
45848,"Declaration",1776,"1776","1776",7,25,"1a"
47421,"Declaration",1776,"1776","1776",6,25,"1a"
48904,"Declaration",1776,"1776","1776",6,25,"1a"
49320,"Declaration",1776,"1776","1776",7,25,"1a"
45352,"Declaration",1776,"1776","1776",6,26,"1a"
46660,"Declaration",1776,"1774","1776",6,26,"1a"
49860,"Declaration",1776,"1763","1776",5,26,"1a"
50572,"Declaration",1776,"1776","1776",5,26,"1a"
50600,"Declaration",1776,"1776","1776",7,26,"1a"
20330,"Declaration",1776,"1776","1776",7,27,"1a"
42485,"Declaration",1776,"1742","1776",6,27,"1a"
47037,"Declaration",1776,"1874","1776",2,27,"1a"
48513,"Declaration",1776,"1776","1776",7,27,"1a"
50460,"Declaration",1776,"1776","1776",7,27,"1a"
38156,"Declaration",1776,"1776","1776",5,28,"1a"
43902,"Declaration",1776,"1776","1776",6,28,"1a"
44208,"Declaration",1776,"1856","1776",4,28,"1a"
47554,"Declaration",1776,"1471","1774",2,28,"1a"
50519,"Declaration",1776,"1776","1776",7,28,"1a"
45337,"Declaration",1776,"1776","1776",7,29,"1a"
49347,"Declaration",1776,"1776","1776",7,29,"1a"
50023,"Declaration",1776,"1776","1776",5,29,"1a"
50536,"Declaration",1776,"1865","1776",5,29,"1a"
50638,"Declaration",1776,"1776","1776",5,29,"1a"
42427,"Declaration",1776,"1776","1776",7,30,"1a"
43392,"Declaration",1776,"1776","1776",4,30,"1a"
45580,"Declaration",1776,"1776","1776",7,30,"1a"
49279,"Declaration",1776,"1776","1776",5,30,"1a"
50401,"Declaration",1776,"1772","1772",5,30,"1a"
36716,"Declaration",1776,"1774","1776",5,31,"1a"
40379,"Declaration",1776,"1776","1776",6,31,"1a"
41302,"Declaration",1776,"1776","1776",6,31,"1a"
46618,"Declaration",1776,"1796","1776",7,31,"1a"
47955,"Declaration",1776,"1780","1776",5,31,"1a"
49261,"Declaration",1776,"1776","1776",6,31,"1a"
43926,"Declaration",1776,"1778","1776",1,32,"1a"
45282,"Declaration",1776,"1777","1776",5,32,"1a"
48519,"Declaration",1776,"1776","1776",7,32,"1a"
49153,"Declaration",1776,"1776","1776",1,32,"1a"
41405,"Declaration",1776,"1776","1776",5,33,"1a"
49157,"Declaration",1776,"1786","1776",4,33,"1a"
50419,"Declaration",1776,"1776","1776",6,33,"1a"
50516,"Declaration",1776,"1776","1776",5,33,"1a"
39658,"Declaration",1776,"1776","1776",7,34,"1a"
42447,"Declaration",1776,"1745","1776",4,34,"1a"
43650,"Declaration",1776,"1776","1776",7,34,"1a"
48518,"Declaration",1776,"1776","1776",7,34,"1a"
45355,"Declaration",1776,"1776","1776",6,35,"1a"
49504,"Declaration",1776,"1776","1776",6,35,"1a"
50149,"Declaration",1776,"1776","1776",6,35,"1a"
50586,"Declaration",1776,"1774","1776",6,35,"1a"
44268,"Declaration",1776,"1786","1776",2,36,"1a"
46881,"Declaration",1776,"1776","1776",7,36,"1a"
47056,"Declaration",1776,"1776","1776",7,36,"1a"
48146,"Declaration",1776,"1776","1776",7,36,"1a"
50579,"Declaration",1776,"1763","1776",6,36,"1a"
43924,"Declaration",1776,"1776","1776",7,37,"1a"
45194,"Declaration",1776,"1778","1776",6,37,"1a"
45577,"Declaration",1776,"1776","1776",4,37,"1a"
45632,"Declaration",1776,"1776","1776",7,37,"1a"
50515,"Declaration",1776,"1782","1776",6,37,"1a"
741,"Declaration",1776,"1776","1776",2,38,"1a"
42453,"Declaration",1776,"1776","1776",7,38,"1a"
42705,"Declaration",1776,"1776","1776",6,38,"1a"
49585,"Declaration",1776,"1787","1776",6,38,"1a"
42880,"Declaration",1776,"1776","1776",7,39,"1a"
48580,"Declaration",1776,"1776","1776",5,39,"1a"
48756,"Declaration",1776,"1801","1776",3,39,"1a"
49976,"Declaration",1776,"1776","1776",6,39,"1a"
45177,"Beethoven",1827,"1865","1825",5,1,"1a"
46018,"Beethoven",1827,"1862","1836",1,1,"1a"
46587,"Beethoven",1827,"1825","1830",5,1,"1a"
50379,"Beethoven",1827,"1620","1815",2,1,"1a"
42930,"Beethoven",1827,"1850","1850",1,2,"1a"
48799,"Beethoven",1827,"1880","1852",5,2,"1a"
50367,"Beethoven",1827,"1846","1846",2,2,"1a"
46341,"Beethoven",1827,"1890","1780",2,3,"1a"
47512,"Beethoven",1827,"1760","1780",3,3,"1a"
50499,"Beethoven",1827,"1800","1800",4,3,"1a"
27005,"Beethoven",1827,"1700","1820",1,4,"1a"
28908,"Beethoven",1827,"1682","1802",3,4,"1a"
40762,"Beethoven",1827,"1780","1828",5,4,"1a"
48907,"Beethoven",1827,"1890","1850",5,4,"1a"
38058,"Beethoven",1827,"1616","1255",2,5,"1a"
38616,"Beethoven",1827,"1600","1600",3,5,"1a"
45091,"Beethoven",1827,"1840","1450",2,5,"1a"
48232,"Beethoven",1827,"1312","1312",2,5,"1a"
48543,"Beethoven",1827,"1890","1800",2,5,"1a"
1164,"Beethoven",1827,"1720","1715",4,6,"1a"
36251,"Beethoven",1827,"1600","1725",5,6,"1a"
43263,"Beethoven",1827,"1330","1720",3,6,"1a"
48346,"Beethoven",1827,"1725","1725",2,6,"1a"
49830,"Beethoven",1827,"1750","1725",2,6,"1a"
16362,"Beethoven",1827,"1850","1800",1,7,"1a"
32122,"Beethoven",1827,"1600","1600",3,7,"1a"
40355,"Beethoven",1827,"1890","1840",5,7,"1a"
48253,"Beethoven",1827,"1700","1700",4,7,"1a"
29534,"Beethoven",1827,"1500","1500",6,8,"1a"
45633,"Beethoven",1827,"1810","1510",1,8,"1a"
47046,"Beethoven",1827,"1682","1642",2,8,"1a"
48157,"Beethoven",1827,"1430","1490",6,8,"1a"
44124,"Beethoven",1827,"1896","1856",1,9,"1a"
44280,"Beethoven",1827,"1345","1860",2,9,"1a"
44545,"Beethoven",1827,"1550","1850",3,9,"1a"
45667,"Beethoven",1827,"1856","1865",3,9,"1a"
48835,"Beethoven",1827,"1260","1856",1,9,"1a"
43535,"Beethoven",1827,"1862","1795",1,10,"1a"
43722,"Beethoven",1827,"1524","1787",1,10,"1a"
47540,"Beethoven",1827,"1790","1785",4,10,"1a"
49191,"Beethoven",1827,"1700","1780",1,10,"1a"
50521,"Beethoven",1827,"1400","1700",1,10,"1a"
42018,"Beethoven",1827,"1847","1760",3,11,"1a"
46416,"Beethoven",1827,"1765","1760",2,11,"1a"
47344,"Beethoven",1827,"1680","1700",4,11,"1a"
49449,"Beethoven",1827,"1000","1608",2,11,"1a"
45087,"Beethoven",1827,"1839","1593",1,12,"1a"
46260,"Beethoven",1827,"1912","1500",1,12,"1a"
47998,"Beethoven",1827,"1470","1592",2,12,"1a"
50441,"Beethoven",1827,"1500","1550",1,12,"1a"
33181,"Beethoven",1827,"1410","1710",1,13,"1a"
33497,"Beethoven",1827,"1530","1820",2,13,"1a"
