question,qcode,group,familiar,ID,Correct,E1,Diff,C1,Cb1,Cx1,GC1,GCb1,Relative,E2,C2,Cb2,Cx2,GC2,GCb2,Rely,AEE1i,AEE2i,Ii
jellybean4,103,120,1,43341,950,300.00,6,2,2,6,5,5,4,400.00,5,5,3,6,5,4,650,550,1
jellybean4,103,120,1,30033,950,380.00,3,6,6,2,2,2,6,360.00,6,6,2,5,2,2,570,590,0
jellybean4,103,120,1,47037,950,600.00,4,3,3,5,5,4,4,550.00,3,3,6,5,5,3,350,400,0
jellybean4,103,121,0,31980,950,2500.00,4,4,4,6,4,4,4,2000.00,4,4,6,4,3,3,1550,1050,1
jellybean4,103,121,0,40256,950,300.00,5,6,6,6,5,3,4,550.00,6,6,6,6,6,5,650,400,1
jellybean4,103,121,0,43817,950,510.00,3,6,6,2,3,3,4,600.00,6,6,2,5,5,2,440,350,1
jellybean4,103,121,0,44280,950,700.00,5,3,3,4,5,4,3,600.00,5,5,4,5,5,2,250,350,0
jellybean4,103,121,0,50736,950,500.00,6,4,5,7,4,5,4,618.00,5,5,7,6,6,4,450,332,1
jellybean4,103,122,0,30407,950,1000.00,5,5,5,7,6,6,4,550.00,5,6,7,6,6,6,50,400,0
jellybean4,103,122,0,36229,950,486.00,4,6,6,5,4,4,4,486.00,6,4,5,3,3,1,464,464,0
jellybean4,103,122,0,42562,950,900.00,6,4,4,4,4,4,4,520.00,6,6,7,7,7,7,50,430,0
jellybean4,103,122,0,47749,950,520.00,5,3,2,6,4,4,4,500.00,5,4,4,6,5,4,430,450,0
jellybean4,103,122,0,50804,950,467.00,5,2,2,7,7,7,4,500.00,5,5,7,7,5,5,483,450,1
jellybean4,103,123,1,45439,950,686.00,3,3,5,2,5,5,4,700.00,5,5,3,5,5,2,264,250,1
jellybean4,103,123,0,39718,950,437.00,4,7,7,6,4,3,4,475.00,6,7,4,4,2,2,513,475,1
jellybean4,103,123,0,47854,950,1200.00,5,2,2,7,2,2,4,850.00,5,2,7,5,5,5,250,100,1
jellybean4,103,123,0,49207,950,600.00,5,5,3,3,5,5,4,540.00,5,5,3,6,3,3,350,410,0
jellybean4,103,123,0,50508,950,400.00,7,2,2,7,5,7,2,550.00,5,5,4,7,5,6,550,400,1
jellybean4,103,124,0,38616,950,480.00,4,5,4,4,4,4,4,350.00,5,4,3,5,5,4,470,600,0
jellybean4,103,124,0,45953,950,393.00,7,2,2,6,5,5,4,363.00,4,4,6,4,5,5,557,587,0
jellybean4,103,124,0,48694,950,240.00,2,4,4,2,6,3,4,350.00,6,6,2,6,5,5,710,600,1
jellybean4,103,124,0,50764,950,625.00,6,1,3,6,6,5,3,350.00,6,5,5,7,7,6,325,600,0
jellybean4,103,125,0,27184,950,800.00,6,2,5,2,6,7,4,900.00,3,5,3,5,5,4,150,50,1
jellybean4,103,125,0,43166,950,782.00,6,2,2,6,6,5,4,827.00,3,3,5,6,5,4,168,123,1
jellybean4,103,125,0,43244,950,200.00,6,1,1,6,4,5,3,900.00,1,1,7,1,7,6,750,50,1
jellybean4,103,125,0,50167,950,1320.00,5,3,4,6,4,5,4,1260.00,5,5,7,5,2,3,370,310,1
jellybean4,103,126,0,15312,950,2100.00,6,4,4,4,5,6,4,1200.00,5,4,3,6,6,5,1150,250,1
jellybean4,103,126,0,33891,950,350.00,5,5,4,7,4,4,4,550.00,6,5,7,7,6,2,600,400,1
jellybean4,103,126,0,44507,950,821.00,6,4,4,4,4,4,4,500.00,4,5,4,5,5,6,129,450,0
jellybean4,103,126,0,50807,950,1000.00,4,4,3,3,5,4,5,1300.00,5,5,3,5,4,2,50,350,0
jellybean4,103,127,0,46074,950,750.00,5,4,3,6,4,3,4,800.00,4,3,6,3,4,2,200,150,1
jellybean4,103,127,0,47194,950,1500.00,3,4,2,5,6,3,3,1000.00,5,5,5,4,5,3,550,50,1
jellybean4,103,127,0,49211,950,290.00,5,3,2,6,5,5,4,600.00,3,3,6,6,6,6,660,350,1
jellybean4,103,128,0,36251,950,600.00,5,5,5,3,2,5,4,1000.00,5,5,2,6,6,6,350,50,1
jellybean4,103,128,0,50030,950,1200.00,5,3,4,3,4,4,4,1000.00,5,5,2,5,3,4,250,50,1
jellybean4,103,128,0,50715,950,195.00,5,5,3,7,3,4,4,915.00,6,5,5,7,7,7,755,35,1
jellybean4,103,129,1,43436,950,364.00,6,2,2,6,2,3,4,850.00,4,4,6,6,6,6,586,100,1
jellybean4,103,129,1,49130,950,768.00,6,5,5,7,6,7,4,850.00,5,6,7,6,7,5,182,100,1
jellybean4,103,129,1,50023,950,420.00,5,4,3,5,6,5,4,850.00,6,6,1,7,7,7,530,100,1
jellybean4,103,129,1,50402,950,700.00,4,5,5,7,4,4,5,850.00,4,4,7,5,3,4,250,100,1
jellybean4,103,129,1,50710,950,1058.00,4,4,4,7,5,4,4,850.00,5,5,7,6,7,3,108,100,1
jellybean4,103,130,1,50182,950,230.00,5,6,6,2,5,2,4,780.00,6,6,2,6,7,7,720,170,1
jellybean4,103,130,1,50579,950,2500.00,5,3,5,6,6,6,3,800.00,6,6,5,7,7,6,1550,150,1
jellybean4,103,130,1,50786,950,530.00,7,4,5,6,6,7,4,708.00,5,5,5,6,6,6,420,242,1
jellybean4,103,130,1,50659,950,250.00,6,1,2,6,1,7,1,550.00,5,5,6,6,7,7,700,400,1
jellybean4,103,130,1,46863,950,520.00,5,3,3,5,6,4,4,525.00,5,4,5,5,3,2,430,425,1
jellybean4,103,131,1,49568,950,603.00,3,7,6,2,5,2,5,603.00,6,6,3,3,1,2,347,347,0
jellybean4,103,131,1,34605,950,800.00,6,3,4,6,4,4,5,500.00,4,4,6,5,6,5,150,450,0
jellybean4,103,131,1,48841,950,356.00,5,3,3,5,6,5,4,465.00,5,3,5,6,5,4,594,485,1
jellybean4,103,131,1,50530,950,170.00,4,4,5,4,6,5,4,565.00,6,6,5,7,7,6,780,385,1
jellybean4,103,131,1,50528,950,379.00,6,5,3,6,1,3,4,450.00,2,5,7,5,3,3,571,500,1
jellybean4,103,132,1,48061,950,150.00,5,4,3,6,6,6,4,400.00,5,6,3,6,6,6,800,550,1
jellybean4,103,132,1,49521,950,250.00,4,4,4,3,5,5,4,350.00,6,6,2,6,6,4,700,600,1
jellybean4,103,132,1,20330,950,2500.00,6,4,4,6,4,5,4,1000.00,4,5,7,5,6,5,1550,50,1
jellybean4,103,132,1,50623,950,500.00,7,1,1,7,6,6,2,500.00,3,3,5,2,2,1,450,450,0
jellybean4,103,132,1,50683,950,375.00,6,2,4,6,5,5,4,375.00,5,6,5,7,1,4,575,575,0
jellybean4,103,133,0,44320,950,350.00,4,5,4,3,7,7,4,750.00,7,7,1,7,7,6,600,200,1
jellybean4,103,133,0,48290,950,845.00,4,4,5,7,4,4,4,900.00,4,5,7,4,4,4,105,50,1
jellybean4,103,133,0,48346,950,720.00,6,4,4,4,5,5,4,750.00,5,5,5,5,5,4,230,200,1
jellybean4,103,133,0,50460,950,1000.00,6,3,3,2,5,3,5,750.00,5,6,2,6,6,6,50,200,0
jellybean4,103,133,0,50663,950,901.00,6,3,2,6,6,6,4,875.00,4,5,5,5,4,4,49,75,0
jellybean4,103,134,0,43978,950,540.00,4,4,4,7,4,4,4,515.00,4,4,6,5,3,3,410,435,0
jellybean4,103,134,0,48240,950,350.00,4,4,5,4,4,3,4,600.00,4,5,3,6,6,7,600,350,1
jellybean4,103,134,0,48904,950,250.00,5,3,3,3,5,3,4,520.00,6,5,3,6,7,6,700,430,1
jellybean4,103,134,0,49347,950,500.00,4,2,2,2,6,6,5,550.00,6,5,6,5,3,4,450,400,1
jellybean4,103,134,0,49548,950,500.00,6,5,5,4,4,5,5,500.00,5,5,4,4,1,3,450,450,0
jellybean4,103,135,0,31758,950,250.00,3,5,5,3,4,5,4,250.00,5,5,3,1,1,1,700,700,0
jellybean4,103,135,0,40551,950,183.00,1,4,5,7,5,4,1,183.00,6,4,6,5,2,2,767,767,0
jellybean4,103,135,0,44508,950,1500.00,4,3,3,3,5,5,4,600.00,3,3,3,5,5,5,550,350,1
jellybean4,103,135,0,45223,950,500.00,6,3,3,7,5,6,4,400.00,3,2,6,2,5,3,450,550,0
jellybean4,103,135,0,48388,950,237.00,4,6,6,6,6,4,4,278.00,5,5,7,6,5,2,713,672,1
