qtype,question,qcode,group,ID,Nametag,Correct,E1,Diff,C1,GC1,E2,C2,Mostaccurate,AEE1i,AEE2i,Ii,Prediction,Instruct
distances,Petersburg,29,263,41322,3,3759,7000,6,2,3,6200,5,3,3241,2441,1,5,1
distances,Petersburg,29,263,50825,4,3759,2358,4,4,2,6230,5,1,1401,2471,0,5,1
distances,Petersburg,29,264,51640,1,3759,2000,5,2,5,2500,3,3,1759,1259,1,5,1
distances,Petersburg,29,264,51635,2,3759,2700,6,4,5,3000,4,1,1059,759,1,5,1
distances,Petersburg,29,264,51797,3,3759,10000,1,6,4,5000,7,4,6241,1241,1,1,1
distances,Petersburg,29,264,51794,4,3759,5000,6,2,6,5000,6,1,1241,1241,0,2,1
distances,Petersburg,29,265,48240,1,3759,5500,4,4,5,5500,4,3,1741,1741,0,4,1
distances,Petersburg,29,265,51695,2,3759,2000,6,1,6,5500,5,1,1759,1741,1,7,1
distances,Petersburg,29,265,50439,3,3759,10000,7,1,6,5500,5,1,6241,1741,1,7,1
distances,Petersburg,29,266,49256,1,3759,8000,6,2,5,4000,5,3,4241,241,1,5,1
distances,Petersburg,29,266,44219,2,3759,1500,5,3,4,8000,5,1,2259,4241,0,6,1
distances,Petersburg,29,266,44143,3,3759,4036,5,2,4,4036,2,2,277,277,0,4,1
distances,Petersburg,29,266,47657,4,3759,8000,5,3,5,4000,4,2,4241,241,1,5,1
distances,Petersburg,29,267,37532,1,3759,900,6,1,5,1000,3,4,2859,2759,1,5,1
distances,Petersburg,29,267,47939,2,3759,4500,4,4,4,5500,4,4,741,1741,0,5,1
distances,Petersburg,29,267,45953,3,3759,8000,6,2,6,4000,3,4,4241,241,1,5,1
distances,Petersburg,29,267,49211,4,3759,3000,6,2,5,4000,3,3,759,241,1,5,1
distances,Petersburg,29,268,44632,1,3759,6000,7,1,4,6800,2,3,2241,3041,0,4,1
distances,Petersburg,29,268,36716,2,3759,"8,000",7,1,5,"7,500",2,1,4241,3741,1,5,1
distances,Petersburg,29,268,43150,3,3759,6000,6,1,3,7000,2,1,2241,3241,0,2,1
distances,Petersburg,29,268,49191,4,3759,2000,7,1,6,7000,5,3,1759,3241,0,6,1
distances,Petersburg,29,269,50785,1,3759,4800,4,3,6,4500,4,3,1041,741,1,6,1
distances,Petersburg,29,269,46496,2,3759,4500,6,2,4,4500,5,3,741,741,0,4,1
distances,Petersburg,29,269,44672,3,3759,3000,5,3,3,4500,4,2,759,741,1,5,1
distances,Petersburg,29,270,51357,1,3759,5000,7,1,5,2500,3,2,1241,1259,0,5,1
distances,Petersburg,29,270,42539,2,3759,1000,6,2,6,2000,3,3,2759,1759,1,5,1
distances,Petersburg,29,270,46249,3,3759,6000,6,2,6,3500,3,2,2241,259,1,5,1
distances,Petersburg,29,270,46599,4,3759,2800,5,2,6,3500,2,2,959,259,1,4,1
distances,Petersburg,29,271,49200,1,3759,2000,7,1,6,6000,4,2,1759,2241,0,5,1
distances,Petersburg,29,271,50957,2,3759,6000,6,2,5,6000,4,4,2241,2241,0,4,1
distances,Petersburg,29,271,51836,3,3759,8000,7,2,3,6000,3,2,4241,2241,1,4,1
distances,Petersburg,29,271,47026,4,3759,6000,3,2,2,6000,5,2,2241,2241,0,5,1
distances,Petersburg,29,272,37544,1,3759,2000,3,5,6,3000,6,2,1759,759,1,5,1
distances,Petersburg,29,272,44692,2,3759,3500,6,2,6,3250,3,1,259,509,0,5,1
distances,Petersburg,29,272,51370,3,3759,2500,5,2,5,2850,5,2,1259,909,1,6,1
distances,Petersburg,29,272,51114,4,3759,4500,7,1,6,3000,5,1,741,759,0,6,1
distances,Petersburg,29,273,43977,1,3759,800,5,3,5,2500,5,3,2959,1259,1,6,1
distances,Petersburg,29,273,51790,2,3759,500,3,4,5,4000,6,3,3259,241,1,6,1
distances,Petersburg,29,273,46617,3,3759,5000,7,1,5,5000,1,1,1241,1241,0,4,1
distances,Petersburg,29,274,48706,1,3759,7500,7,1,5,3000,4,4,3741,759,1,6,1
distances,Petersburg,29,274,48717,2,3759,7000,7,1,7,3500,5,3,3241,259,1,6,1
distances,Petersburg,29,274,49973,3,3759,3525,6,1,5,3350,2,4,234,409,0,5,1
distances,Petersburg,29,274,48960,4,3759,1000,5,3,6,3500,4,3,2759,259,1,5,1
distances,Petersburg,29,275,51817,1,3759,5000,5,3,6,6500,4,4,1241,2741,0,5,1
distances,Petersburg,29,275,43286,2,3759,"4,000",6,1,4,"5,500",1,4,241,1741,0,5,1
distances,Petersburg,29,275,50594,3,3759,8000,5,2,2,6500,4,1,4241,2741,1,5,1
distances,Petersburg,29,275,49322,4,3759,"1,000",4,1,7,"6,500",5,3,2759,2741,1,6,1
distances,Petersburg,29,276,45820,1,3759,6200,6,3,5,6000,3,3,2441,2241,1,5,1
distances,Petersburg,29,276,45207,2,3759,4200,6,3,5,5420,5,1,441,1661,0,6,1
distances,Petersburg,29,276,51595,3,3759,2000,5,1,4,2000,4,1,1759,1759,0,5,1
distances,Petersburg,29,277,51061,1,3759,1000,7,1,7,4750,2,4,2759,991,1,5,1
distances,Petersburg,29,277,51559,2,3759,6000,4,5,6,4500,5,4,2241,741,1,6,1
distances,Petersburg,29,277,49542,3,3759,400,7,1,6,4500,3,4,3359,741,1,5,1
distances,Petersburg,29,277,51316,4,3759,6000,7,1,7,4500,2,3,2241,741,1,5,1
distances,Petersburg,29,277,43084,5,3759,3000,6,1,2,3500,1,4,759,259,1,4,1
distances,Petersburg,29,278,51673,1,3759,"8,000",6,4,6,4000,6,3,4241,241,1,6,1
distances,Petersburg,29,278,50037,2,3759,4000,5,3,5,4000,5,1,241,241,0,5,1
distances,Petersburg,29,278,50651,3,3759,4000,5,4,5,4000,5,2,241,241,0,5,1
distances,Petersburg,29,278,46800,4,3759,3000,6,1,4,4000,2,3,759,241,1,6,1
distances,Petersburg,29,279,25902,1,3759,2000,6,1,6,6000,4,3,1759,2241,0,6,1
distances,Petersburg,29,279,47531,2,3759,2800,5,5,6,5800,6,3,959,2041,0,6,1
distances,Petersburg,29,279,41405,3,3759,6000,5,3,6,7000,6,1,2241,3241,0,6,1
distances,Petersburg,29,279,49337,4,3759,3000,6,4,5,6000,5,3,759,2241,0,5,1
distances,Petersburg,29,280,51854,1,3759,4000,6,2,7,3700,4,2,241,59,1,5,1
distances,Petersburg,29,280,51680,2,3759,3700,5,5,3,3700,5,2,59,59,0,4,1
distances,Petersburg,29,280,43535,3,3759,2500,6,2,5,3700,5,2,1259,59,1,5,1
distances,Petersburg,29,280,37448,4,3759,1500,5,4,5,3700,4,2,2259,59,1,5,1
