task,trial,network,pre_influence,post_influence,individual_error,mean_individual_change,crowd_pre_influence,crowd_post_influence,mean_group_change
2,full081119_1525,Social,300,230,0.2657031657330057,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,300,365,-0.19611487892629054,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,100,500,-1.6094379124341,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,500,350,0.3566749439387323,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,5000,600,-1.7171047894033524,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,300,350,-0.15415067982725839,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,50,150,-1.0986122886681098,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081119_1525,Social,450,350,0.25131442828090594,-0.49700799281097274,1.1941772804732984,0.6971692876623256,-0.49700799281097285
2,full081121_0739,Social,150,320,-0.7576857016975165,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,50,200,-1.3862943611198908,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,1500,1500,0,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,100,450,-1.5040773967762737,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,300,310,-0.03278982282299092,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,900,650,-0.08234906898496228,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,300,300,0,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,5500,2150,-0.939280250098854,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,250,330,-0.27763173659827944,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,400,296,0.3011050927839217,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,200,200,0,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,full081121_0739,Social,400,450,-0.1177830356563832,-0.39973219008093575,1.215089323322594,0.815357133241658,-0.39973219008093586
2,no081113_1411,Control,300,300,0,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,115,160,-0.33024168687057687,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,200,100,0.6931471805599452,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,80,80,0,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,1000,900,-0.10536051565782628,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,320,280,0.13353139262452252,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,100,110,-0.09531017980432455,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,150,75,0.6931471805599452,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,800,350,0.6544731750776444,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,300,430,-0.36000273403140703,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,20,45,-0.8109302162163288,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
2,no081113_1411,Control,600,650,-0.08004270767353644,0.03270090738067144,1.3142341460016969,1.3469350533823683,0.03270090738067144
